Date,JKM,TTF
07/05/2019,13.71390901,11.215
07/03/2019,13.86131003,10.295
07/02/2019,13.9144365,10.225
07/01/2019,13.91197049,10.365
06/28/2019,14.26073548,10.115
06/27/2019,14.12563378,9.375
06/26/2019,14.41084849,9.62
06/25/2019,14.26449986,9.845
06/24/2019,14.27062007,10.2
06/21/2019,13.79781265,10.355
06/20/2019,13.94991873,10.15
06/19/2019,13.83554013,10.485
06/18/2019,13.89158707,11.035
06/17/2019,13.95066788,11.57
06/14/2019,13.71948481,11.32
06/13/2019,13.63674201,11.395
06/12/2019,13.62224384,11.14
06/11/2019,13.54161614,11.2
06/10/2019,13.50162442,11.805
06/07/2019,13.47898468,11.52
06/06/2019,13.54713282,11.105
06/05/2019,13.61354625,11.6
06/04/2019,13.75683557,11.91
06/03/2019,13.78548091,11.1
05/31/2019,14.21179114,11.205
05/30/2019,14.10571312,11.475
05/29/2019,14.47498878,12.225
05/28/2019,14.38890724,12.52
05/24/2019,14.39589347,12.25
05/23/2019,14.4242217,12.595
05/22/2019,14.44513542,12.65
05/21/2019,14.66677515,12.705
05/20/2019,15.20100464,12.905
05/17/2019,15.08241177,12.855
05/16/2019,15.90091758,13.385
05/15/2019,16.79058996,13.855
05/14/2019,16.80132607,13.785
05/13/2019,16.80179568,13.76
05/10/2019,16.83241327,13.995
05/09/2019,16.92796262,14.455
05/08/2019,16.91083431,14.32
05/07/2019,16.95809581,14.155
05/06/2019,17.11514024,14.335
05/03/2019,17.1257923,14.565
05/02/2019,17.02514652,14.365
05/01/2019,16.76910046,14.055
04/30/2019,16.88986137,14.39
04/29/2019,16.81310751,14.525
04/26/2019,16.71583449,14.425
04/25/2019,16.55888062,14.535
04/24/2019,16.31198555,14.265
04/23/2019,16.20590314,14.42
04/22/2019,16.43562285,14.46
04/18/2019,16.47367844,14.46
04/17/2019,16.99836393,15.195
04/16/2019,17.29177257,14.835
04/15/2019,14.41313198,15.01
04/12/2019,14.42206047,15.855
04/11/2019,14.34963974,15.995
04/10/2019,14.24467354,15.73
04/09/2019,14.01739005,16.755
04/08/2019,13.9440969,15.965
04/05/2019,14.15222683,16.635
04/04/2019,13.99256569,14.805
04/03/2019,13.91436649,14.19
04/02/2019,13.95411473,13.455
04/01/2019,13.94166903,13.845
03/29/2019,13.99630802,14.215
03/28/2019,13.97735638,14.43
03/27/2019,13.95897457,14.995
03/26/2019,13.93790723,14.385
03/25/2019,13.87999178,14.185
03/22/2019,13.93787509,14.455
03/21/2019,14.19444712,14.565
03/20/2019,14.80518618,15.215
03/19/2019,15.03643177,15.005
03/18/2019,15.52033932,14.98
03/15/2019,17.9162052,15.25
03/14/2019,17.95266536,15.605
03/13/2019,17.94634179,15.725
03/12/2019,18.0688388,16.21
03/11/2019,18.13149415,16.625
03/08/2019,18.1731505,16.73
03/07/2019,18.29356414,16.87
03/06/2019,18.21638775,16.85
03/05/2019,18.24495872,17.18
03/04/2019,18.25366729,17.4
03/01/2019,18.35929684,17.32
02/28/2019,18.38399161,17.815
02/27/2019,18.46227557,17.615
02/26/2019,18.44807758,17.045
02/25/2019,18.4935522,16.945
02/22/2019,18.74530427,17.23
02/21/2019,18.81709423,17.52
02/20/2019,19.41752834,18.145
02/19/2019,19.54610307,17.705
02/15/2019,21.9977126,18.1
02/14/2019,21.98603343,17.755
02/13/2019,22.05237985,18.02
02/12/2019,21.98464541,17.785
02/11/2019,22.08017996,18.055
02/08/2019,22.02012839,18.265
02/07/2019,21.99877036,18.91
02/06/2019,21.92807232,18.915
02/05/2019,21.82625998,19.14
02/04/2019,21.78237084,19.355
02/01/2019,21.45022594,19.3
01/31/2019,21.91623644,19.85
01/30/2019,21.89782975,20.18
01/29/2019,22.40582092,20.585
01/28/2019,22.96903851,20.55
01/25/2019,23.3062598,20.89
01/24/2019,24.2252596,21.28
01/23/2019,24.44047066,22.19
01/22/2019,24.47278353,21.815
01/18/2019,25.07990277,22.605
01/17/2019,24.86814344,22.995
01/16/2019,24.17519909,22.005
01/15/2019,26.26165819,22
01/14/2019,26.13923499,21.675
01/11/2019,26.15746796,22.255
01/10/2019,26.10179552,21.675
01/09/2019,25.79758901,21.72
01/08/2019,26.30867775,22.09
01/07/2019,26.26047296,21.53
01/04/2019,26.61187546,22.93
01/03/2019,26.79393561,22.255
01/02/2019,26.9896275,22.475
12/31/2018,26.7651776,21.98
12/28/2018,26.92957491,22.81
12/27/2018,26.96335313,23.32
12/26/2018,27.34163272,24.245
12/24/2018,27.24387761,24.245
12/21/2018,27.31816385,24.9
12/20/2018,27.208933,24.605
12/19/2018,27.88393205,24.21
12/18/2018,27.80303734,23.73
12/17/2018,28.87503756,24.68
12/14/2018,28.67026987,24.645
12/13/2018,28.51900321,24.225
12/12/2018,28.50645966,23.92
12/11/2018,28.63745435,23.62
12/10/2018,28.55160989,23.25
12/07/2018,28.55639618,23.145
12/06/2018,28.60641888,23.165
12/05/2018,29.09327659,23.82
12/04/2018,29.33137991,24.415
12/03/2018,29.47345766,25.085
11/30/2018,29.5698187,24.69
11/29/2018,29.61221923,24.635
11/28/2018,29.69757717,24.3
11/27/2018,30.17490561,25.16
11/26/2018,30.62573514,24.545
11/23/2018,31.14736979,24.82
11/21/2018,30.36748251,24.5
11/20/2018,30.61497378,24.35
11/19/2018,30.99177556,24.15
11/16/2018,32.18710962,25.955
11/15/2018,31.57478645,26.675
11/14/2018,31.64012638,26.28
11/13/2018,31.70848267,26.52
11/12/2018,31.91482241,25.955
11/09/2018,31.56755728,24.325
11/08/2018,31.53760228,24.43
11/07/2018,31.37864723,24.42
11/06/2018,31.54017295,23.895
11/05/2018,31.59547263,23.81
11/02/2018,31.66595282,24.285
11/01/2018,31.21600006,23.65
10/31/2018,31.60436107,24.335
10/30/2018,31.81607032,23.875
10/29/2018,31.74994726,24.58
10/26/2018,31.72627765,24.28
10/25/2018,31.12654388,24.865
10/24/2018,31.14274552,25.26
10/23/2018,31.46382196,25.665
10/22/2018,32.31380861,26.115
10/19/2018,32.36615247,26.86
10/18/2018,31.97516844,26.025
10/17/2018,31.60431516,25.94
10/16/2018,31.82980856,26.33
10/15/2018,32.76202918,26.625
10/12/2018,32.82212093,26.63
10/11/2018,32.85211075,25.76
10/10/2018,33.21127228,26.22
10/09/2018,33.28313387,26.835
10/08/2018,32.98035493,27.22
10/05/2018,33.36263361,27.9
10/04/2018,33.47762749,27.47
10/03/2018,33.6747492,27.115
10/02/2018,33.39673788,27.255
10/01/2018,33.41337608,27.445
09/28/2018,33.41234896,27.33
09/27/2018,33.64300535,27.575
09/26/2018,33.57733835,28.26
09/25/2018,33.47156845,29.23
09/24/2018,33.685205,29.245
09/21/2018,33.67947135,28.725
09/20/2018,33.63123761,28.59
09/19/2018,33.91625434,28.32
09/18/2018,33.78743055,27.41
09/17/2018,34.48609295,28.075
09/14/2018,33.6161334,26.93
09/13/2018,33.47279113,26.81
09/12/2018,33.68641194,27.495
09/11/2018,33.8150657,28.78
09/10/2018,33.88241888,29.125
09/07/2018,34.03220475,27.99
09/06/2018,33.830155,27.455
09/05/2018,33.83913994,27.02
09/04/2018,34.19746895,26.71
08/31/2018,34.17088029,25.835
08/30/2018,34.09752536,26.13
08/29/2018,34.03349537,25.87
08/28/2018,33.77949504,25.36
08/27/2018,33.84328164,25.41
08/24/2018,34.01810991,24.975
08/23/2018,34.0291287,24.76
08/22/2018,33.54992656,24.45
08/21/2018,33.55157341,24.405
08/20/2018,33.88890326,24.18
08/17/2018,33.64037824,24.155
08/16/2018,33.16372983,23.835
08/15/2018,29.69238151,23.52
08/14/2018,29.67995591,23.725
08/13/2018,29.49590423,23.5
08/10/2018,29.40100609,22.88
08/09/2018,29.09032984,22.715
08/08/2018,28.8798753,22.6
08/07/2018,28.88032892,22.61
08/06/2018,28.97804108,22.5
08/03/2018,28.94547304,22.26
08/02/2018,28.87353157,21.935
08/01/2018,28.5682506,21.93
07/31/2018,28.59467465,22.115
07/30/2018,28.57261146,22.06
07/27/2018,28.29503184,21.89
07/26/2018,28.33148512,22.115
07/25/2018,28.22800311,22.17
07/24/2018,28.30025018,22.095
07/23/2018,28.22734602,22.03
07/20/2018,27.88326014,21.875
07/19/2018,27.56933446,22.155
07/18/2018,27.98933913,22.14
07/17/2018,27.65848532,21.85
07/16/2018,27.4115936,22.02
07/13/2018,30.53709359,22.265
07/12/2018,30.61496607,21.97
07/11/2018,30.63895673,22.58
07/10/2018,30.54351768,22.73
07/09/2018,30.58341124,22.73
07/06/2018,30.59382528,22.355
07/05/2018,30.74036999,22.465
07/03/2018,30.77147394,22.26
07/02/2018,31.00433826,22.24
06/29/2018,30.97521545,21.875
06/28/2018,30.97603723,21.96
06/27/2018,31.01625193,22.035
06/26/2018,29.81622946,21.495
06/25/2018,29.75850268,21.545
06/22/2018,31.19600902,21.655
06/21/2018,32.09126509,21.545
06/20/2018,32.2952071,21.5
06/19/2018,32.25977437,21.695
06/18/2018,32.74077907,22.14
06/15/2018,28.2674646,21.75
06/14/2018,28.36519981,22.355
06/13/2018,27.70088715,22.38
06/12/2018,27.72220261,21.785
06/11/2018,27.60149123,21.35
06/08/2018,27.58101452,21.54
06/07/2018,27.47962386,21.665
06/06/2018,27.38086714,21.32
06/05/2018,27.5530717,21.43
06/04/2018,27.46654056,21.905
06/01/2018,27.42433941,21.775
